Deck size,Moves,Winner
20,111,0
20,38,0
20,45,1
20,22,1
20,15,0
20,32,0
20,39,1
20,88,0
20,12,0
20,35,1
20,23,1
20,19,0
20,64,0
20,26,0
20,33,1
20,20,0
20,26,0
20,49,1
20,34,1
20,40,0
20,14,1
20,64,0
20,44,0
20,44,0
20,242,0
20,56,0
20,17,1
20,16,1
20,26,0
20,25,0
20,72,0
20,91,1
20,24,0
20,14,0
20,60,0
20,36,0
20,16,0
20,78,0
20,40,0
20,94,0
20,32,0
20,12,0
20,15,0
20,32,0
20,69,1
20,30,0
20,31,0
20,12,1
20,70,0
20,31,1
20,13,1
20,24,0
20,56,0
20,18,0
20,73,1
20,20,0
20,151,1
20,81,1
20,65,1
20,69,1
20,62,0
20,51,1
20,16,0
20,47,1
20,14,0
20,17,1
20,56,0
20,51,1
20,28,0
20,30,0
20,36,0
20,31,1
20,36,0
20,38,0
20,30,0
20,91,1
20,18,0
20,77,1
20,23,1
20,172,0
20,68,1
20,23,1
20,31,1
20,12,0
20,30,1
20,36,0
20,74,1
20,24,0
20,70,0
20,160,0
20,34,0
20,65,1
20,87,1
20,58,0
20,10,0
20,52,0
20,106,0
20,27,1
20,66,0
20,25,1
20,56,0
20,58,0
20,39,1
20,17,1
20,28,0
20,34,0
20,18,0
20,148,0
20,140,0
20,19,1
20,56,0
20,64,0
20,12,1
20,25,1
20,40,0
20,48,0
20,34,0
20,72,0
20,57,1
20,99,0
20,15,1
20,13,0
20,36,0
20,24,0
20,12,0
20,50,0
20,18,0
20,24,0
20,31,1
20,26,1
20,176,0
20,25,1
20,36,0
20,20,0
20,118,0
20,133,0
20,14,1
20,22,0
20,54,0
20,84,0
20,82,0
20,80,0
20,112,0
20,71,1
20,11,1
20,11,1
20,35,1
20,24,0
20,32,0
20,23,1
20,54,0
20,39,1
20,71,1
20,30,0
20,68,0
20,25,1
20,59,1
20,17,1
20,23,1
20,29,1
20,59,1
20,22,0
20,14,1
20,10,0
20,67,1
20,13,1
20,42,0
20,102,1
20,142,0
20,114,0
20,44,0
20,35,1
20,16,0
20,55,1
20,88,1
20,14,0
20,20,0
20,75,1
20,133,1
20,51,1
20,28,0
20,34,1
20,65,0
20,59,1
20,45,0
20,38,0
20,220,0
20,25,1
20,16,0
20,43,1
20,15,1
20,37,1
20,80,0
20,26,1
20,14,0
20,17,1
20,15,1
20,65,1
20,68,0
20,22,1
20,13,1
20,72,0
20,61,1
20,40,0
20,41,1
20,63,1
20,23,1
20,22,1
20,14,1
20,25,1
20,35,1
20,45,1
20,14,1
20,29,0
20,10,0
20,22,0
20,74,0
20,11,1
20,36,0
20,46,0
20,49,1
20,14,0
20,85,1
20,27,1
20,24,1
20,29,0
20,80,0
20,42,0
20,38,0
20,11,1
20,145,1
20,24,0
20,20,0
20,28,0
20,73,1
20,28,0
20,32,0
20,12,0
20,44,0
20,67,1
20,20,0
20,18,0
20,13,1
20,57,1
20,40,1
20,12,0
20,20,0
20,27,1
20,46,0
20,70,0
20,35,1
20,46,0
20,35,1
20,81,1
20,56,1
20,12,0
20,39,1
20,145,1
20,29,1
20,10,0
20,13,1
20,62,0
20,22,0
20,56,0
20,11,1
20,57,1
20,48,0
20,33,1
20,16,0
20,34,0
20,41,1
20,14,1
20,56,1
20,106,0
20,37,1
20,28,0
20,64,0
20,36,0
20,60,1
20,29,1
20,54,0
20,18,0
20,10,0
20,41,1
20,81,1
20,60,0
20,27,0
20,29,1
