Deck size,Moves,Player1Strategy,Player2Strategy,Winner
52,593,1,1,1
52,750,1,1,0
52,350,1,1,0
52,186,1,1,0
52,280,1,1,0
52,359,1,1,1
52,131,1,1,1
52,302,1,1,1
52,64,1,1,0
52,624,1,1,0
52,307,1,1,1
52,492,1,1,0
52,606,1,1,0
52,364,1,1,0
52,173,1,1,1
52,328,1,1,0
52,1127,1,1,1
52,783,1,1,1
52,617,1,1,1
52,316,1,1,0
52,289,1,1,1
52,262,1,1,0
52,182,1,1,0
52,396,1,1,0
52,344,1,1,0
52,388,1,1,0
52,242,1,1,0
52,225,1,1,1
52,273,1,1,1
52,154,1,1,0
52,185,1,1,1
52,155,1,1,1
52,263,1,1,1
52,276,1,1,0
52,248,1,1,0
52,130,1,1,0
52,239,1,1,1
52,212,1,1,0
52,309,1,1,1
52,298,1,1,0
52,193,1,1,1
52,187,1,1,1
52,326,1,1,0
52,382,1,1,0
52,311,1,1,1
52,323,1,1,1
52,380,1,1,0
52,836,1,1,0
52,194,1,1,0
52,744,1,1,0
52,355,1,1,1
52,87,1,1,1
52,535,1,1,1
52,429,1,1,1
52,481,1,1,1
52,459,1,1,1
52,290,1,1,0
52,341,1,1,1
52,117,1,1,1
52,147,1,1,1
52,575,1,1,1
52,161,1,1,1
52,466,1,1,0
52,101,1,1,1
52,489,1,1,1
52,792,1,1,0
52,266,1,1,0
52,88,1,1,0
52,231,1,1,1
52,610,1,1,0
52,132,1,1,0
52,494,1,1,0
52,229,1,1,1
52,211,1,1,1
52,508,1,1,0
52,712,1,1,0
52,318,1,1,0
52,694,1,1,0
52,229,1,1,1
52,122,1,1,0
52,838,1,1,0
52,604,1,1,0
52,588,1,1,0
52,421,1,1,1
52,560,1,1,1
52,478,1,1,0
52,420,1,1,0
52,3001,1,1,1
52,344,1,1,1
52,127,1,1,1
52,74,1,1,0
52,112,1,1,0
52,447,1,1,1
52,188,1,1,0
52,195,1,1,1
52,121,1,1,1
52,274,1,1,0
52,96,1,1,0
52,308,1,1,0
52,594,1,1,0
52,86,1,1,0
52,177,1,1,1
52,114,1,1,1
52,212,1,1,0
52,197,1,1,1
52,277,1,1,1
52,471,1,1,1
52,197,1,1,1
52,482,1,1,0
52,236,1,1,0
52,335,1,1,1
52,122,1,1,0
52,111,1,1,1
52,752,1,1,0
52,52,1,1,0
52,247,1,1,1
52,573,1,1,1
52,73,1,1,1
52,305,1,1,1
52,201,1,1,1
52,429,1,1,1
52,124,1,1,0
52,122,1,1,1
52,152,1,1,1
52,206,1,1,0
52,347,1,1,1
52,1040,1,1,0
52,126,1,1,0
52,1298,1,1,0
52,1498,1,1,0
52,50,1,1,0
52,54,1,1,0
52,252,1,1,0
52,111,1,1,1
52,53,1,1,1
52,114,1,1,1
52,354,1,1,0
52,227,1,1,1
52,164,1,1,0
52,407,1,1,1
52,314,1,1,0
52,1113,1,1,1
52,72,1,1,0
52,455,1,1,1
52,422,1,1,0
52,82,1,1,0
52,350,1,1,0
52,230,1,1,0
52,167,1,1,1
52,140,1,1,0
52,162,1,1,0
52,499,1,1,1
52,93,1,1,1
52,638,1,1,0
52,131,1,1,1
52,271,1,1,1
52,70,1,1,0
52,193,1,1,1
52,525,1,1,1
52,99,1,1,1
52,575,1,1,1
52,421,1,1,0
52,878,1,1,0
52,183,1,1,1
52,408,1,1,0
52,447,1,1,1
52,112,1,1,0
52,453,1,1,1
52,229,1,1,1
52,507,1,1,1
52,137,1,1,1
52,541,1,1,1
52,425,1,1,1
52,272,1,1,0
52,998,1,1,0
52,652,1,1,0
52,319,1,1,1
52,600,1,1,0
52,188,1,1,0
52,216,1,1,0
52,197,1,1,1
52,1435,1,1,1
52,110,1,1,0
52,65,1,1,1
52,685,1,1,1
52,284,1,1,0
52,404,1,1,0
52,81,1,1,1
52,201,1,1,1
52,456,1,1,0
52,283,1,1,1
52,115,1,1,1
52,150,1,1,0
52,324,1,1,0
52,494,1,1,1
52,810,1,1,1
52,1737,1,1,1
52,288,1,1,0
52,116,1,1,0
52,216,1,1,0
52,106,1,1,0
52,350,1,1,0
52,377,1,1,1
52,464,1,1,0
52,528,1,1,0
52,581,1,1,0
52,70,1,1,0
52,550,1,1,0
52,296,1,1,0
52,521,1,1,1
52,56,1,1,0
52,103,1,1,1
