Deck size,Moves,Player1Strategy,Player2Strategy,Winner
52,91,1,2,1
52,1001,1,2,1
52,285,1,2,1
52,751,1,2,1
52,601,1,2,1
52,83,1,2,1
52,958,1,2,0
52,269,1,2,1
52,229,1,2,1
52,153,1,2,1
52,337,1,2,1
52,84,1,2,1
52,281,1,2,1
52,342,1,2,0
52,853,1,2,1
52,387,1,2,1
52,97,1,2,1
52,277,1,2,1
52,101,1,2,1
52,141,1,2,1
52,383,1,2,1
52,536,1,2,0
52,204,1,2,0
52,243,1,2,1
52,215,1,2,1
52,536,1,2,0
52,1197,1,2,1
52,81,1,2,1
52,103,1,2,1
52,361,1,2,1
52,363,1,2,1
52,65,1,2,1
52,323,1,2,1
52,97,1,2,1
52,160,1,2,1
52,179,1,2,1
52,105,1,2,1
52,127,1,2,1
52,125,1,2,1
52,215,1,2,1
52,73,1,2,1
52,968,1,2,0
52,465,1,2,1
52,2182,1,2,0
52,2969,1,2,1
52,3691,1,2,1
52,2528,1,2,0
52,2193,1,2,1
52,159,1,2,1
52,107,1,2,1
52,113,1,2,1
52,95,1,2,1
52,494,1,2,0
52,265,1,2,1
52,157,1,2,1
52,330,1,2,0
52,375,1,2,1
52,77,1,2,1
52,85,1,2,1
52,81,1,2,1
52,89,1,2,1
52,561,1,2,1
52,1371,1,2,1
52,105,1,2,1
52,64,1,2,1
52,199,1,2,1
52,562,1,2,0
52,387,1,2,1
52,77,1,2,1
52,382,1,2,0
52,329,1,2,1
52,121,1,2,1
52,631,1,2,1
52,52,1,2,1
52,219,1,2,1
52,243,1,2,1
52,361,1,2,1
52,109,1,2,1
52,139,1,2,1
52,781,1,2,1
52,103,1,2,1
52,667,1,2,1
52,365,1,2,1
52,109,1,2,1
52,331,1,2,1
52,87,1,2,1
52,85,1,2,1
52,779,1,2,1
52,185,1,2,1
52,123,1,2,1
52,1145,1,2,1
52,143,1,2,1
52,133,1,2,1
52,173,1,2,1
52,77,1,2,1
52,1283,1,2,1
52,97,1,2,1
52,1106,1,2,0
52,105,1,2,1
52,651,1,2,1
52,620,1,2,0
52,540,1,2,0
52,1287,1,2,1
52,966,1,2,0
52,151,1,2,1
52,105,1,2,1
52,124,1,2,1
52,371,1,2,1
52,487,1,2,1
52,819,1,2,1
52,1021,1,2,1
52,675,1,2,0
52,797,1,2,1
52,1116,1,2,0
52,483,1,2,1
52,80,1,2,1
52,589,1,2,1
52,41,1,2,1
52,205,1,2,1
52,75,1,2,1
52,181,1,2,1
52,565,1,2,1
52,83,1,2,1
52,277,1,2,1
52,589,1,2,1
52,1169,1,2,1
52,325,1,2,1
52,325,1,2,1
52,85,1,2,1
52,153,1,2,1
52,645,1,2,1
52,298,1,2,0
52,601,1,2,1
52,69,1,2,1
52,77,1,2,1
52,59,1,2,1
52,550,1,2,1
52,63,1,2,1
52,115,1,2,1
52,181,1,2,1
52,1209,1,2,1
52,409,1,2,1
52,87,1,2,1
52,102,1,2,1
52,647,1,2,1
52,1389,1,2,1
52,241,1,2,1
52,296,1,2,0
52,271,1,2,1
52,199,1,2,1
52,597,1,2,1
52,149,1,2,1
52,51,1,2,1
52,95,1,2,1
52,285,1,2,1
52,865,1,2,1
52,1299,1,2,1
52,119,1,2,1
52,191,1,2,1
52,2274,1,2,1
52,187,1,2,1
52,94,1,2,1
52,446,1,2,0
52,53,1,2,1
52,103,1,2,1
52,104,1,2,1
52,1013,1,2,1
52,153,1,2,1
52,207,1,2,1
52,430,1,2,0
52,541,1,2,1
52,163,1,2,1
