Deck size,Moves,Player1Strategy,Player2Strategy,Winner
52,260,0,1,0
52,1105,0,1,1
52,92,0,1,0
52,336,0,1,0
52,1084,0,1,0
52,429,0,1,1
52,272,0,1,0
52,184,0,1,0
52,82,0,1,0
52,828,0,1,0
52,1247,0,1,1
52,423,0,1,1
52,556,0,1,1
52,388,0,1,0
52,261,0,1,1
52,186,0,1,0
52,204,0,1,0
52,102,0,1,0
52,144,0,1,0
52,536,0,1,0
52,514,0,1,0
52,929,0,1,1
52,506,0,1,0
52,68,0,1,0
52,750,0,1,0
52,180,0,1,0
52,925,0,1,1
52,271,0,1,1
52,560,0,1,0
52,273,0,1,1
52,1098,0,1,0
52,195,0,1,1
52,1423,0,1,1
52,863,0,1,1
52,106,0,1,0
52,154,0,1,0
52,92,0,1,0
52,148,0,1,0
52,1230,0,1,0
52,101,0,1,0
52,96,0,1,0
52,319,0,1,1
52,615,0,1,1
52,88,0,1,0
52,434,0,1,0
52,378,0,1,1
52,1346,0,1,0
52,972,0,1,0
52,252,0,1,0
52,189,0,1,1
52,759,0,1,1
52,119,0,1,1
52,265,0,1,1
52,296,0,1,0
52,196,0,1,0
52,102,0,1,0
52,239,0,1,1
52,104,0,1,0
52,163,0,1,0
52,328,0,1,0
52,480,0,1,0
52,218,0,1,0
52,254,0,1,0
52,1204,0,1,0
52,823,0,1,1
52,294,0,1,1
52,315,0,1,1
52,802,0,1,0
52,140,0,1,0
52,405,0,1,1
52,92,0,1,0
52,248,0,1,0
52,132,0,1,0
52,50,0,1,0
52,100,0,1,0
52,3043,0,1,1
52,106,0,1,0
52,84,0,1,0
52,919,0,1,1
52,654,0,1,0
52,293,0,1,1
52,389,0,1,1
52,1686,0,1,0
52,130,0,1,0
52,56,0,1,0
52,928,0,1,0
52,400,0,1,0
52,70,0,1,0
52,166,0,1,0
52,597,0,1,1
52,414,0,1,0
52,160,0,1,0
52,172,0,1,0
52,500,0,1,0
52,392,0,1,1
52,542,0,1,0
52,346,0,1,0
52,70,0,1,0
52,915,0,1,1
52,226,0,1,0
52,188,0,1,0
52,214,0,1,0
52,280,0,1,0
52,1098,0,1,0
52,317,0,1,0
52,72,0,1,0
52,260,0,1,0
52,175,0,1,1
52,359,0,1,1
52,222,0,1,0
52,132,0,1,0
52,150,0,1,0
52,440,0,1,0
52,107,0,1,1
52,104,0,1,0
52,909,0,1,1
52,676,0,1,0
52,205,0,1,1
52,86,0,1,0
52,152,0,1,0
52,106,0,1,0
52,547,0,1,1
52,537,0,1,1
52,146,0,1,1
52,78,0,1,0
52,84,0,1,0
52,658,0,1,0
52,468,0,1,0
52,487,0,1,1
52,328,0,1,0
52,116,0,1,0
52,86,0,1,0
52,461,0,1,1
52,264,0,1,0
52,123,0,1,1
52,381,0,1,1
52,950,0,1,0
52,297,0,1,1
52,282,0,1,0
52,378,0,1,0
52,125,0,1,1
52,150,0,1,0
52,170,0,1,0
52,356,0,1,0
52,312,0,1,0
52,168,0,1,0
52,190,0,1,0
52,64,0,1,0
52,483,0,1,1
52,86,0,1,0
52,196,0,1,0
52,474,0,1,0
52,928,0,1,0
52,261,0,1,0
52,258,0,1,0
52,363,0,1,1
52,48,0,1,0
52,268,0,1,0
52,254,0,1,0
52,1334,0,1,0
52,110,0,1,0
52,196,0,1,1
52,358,0,1,0
52,643,0,1,1
52,82,0,1,0
52,64,0,1,0
52,734,0,1,0
52,129,0,1,1
52,846,0,1,0
52,648,0,1,0
52,541,0,1,1
52,121,0,1,1
52,242,0,1,0
52,110,0,1,0
52,300,0,1,0
52,76,0,1,0
52,242,0,1,0
52,246,0,1,0
52,326,0,1,0
52,475,0,1,1
52,352,0,1,0
52,611,0,1,1
52,110,0,1,0
52,388,0,1,0
52,52,0,1,0
52,354,0,1,0
52,261,0,1,0
52,172,0,1,1
52,171,0,1,0
52,140,0,1,0
52,461,0,1,1
52,217,0,1,0
52,82,0,1,0
52,380,0,1,0
52,165,0,1,1
52,306,0,1,0
52,80,0,1,0
52,328,0,1,1
52,362,0,1,0
52,180,0,1,0
52,192,0,1,0
52,540,0,1,0
52,771,0,1,1
52,70,0,1,0
52,597,0,1,1
52,320,0,1,0
52,258,0,1,0
52,171,0,1,1
52,418,0,1,0
52,651,0,1,1
52,542,0,1,0
52,487,0,1,1
52,320,0,1,0
52,68,0,1,0
52,208,0,1,0
52,225,0,1,1
52,296,0,1,0
52,867,0,1,1
52,104,0,1,0
52,1089,0,1,1
52,102,0,1,0
52,724,0,1,0
52,110,0,1,0
52,528,0,1,0
52,511,0,1,1
52,582,0,1,0
52,282,0,1,1
52,262,0,1,0
52,850,0,1,0
52,200,0,1,0
52,315,0,1,1
52,58,0,1,0
52,173,0,1,1
52,136,0,1,0
52,1245,0,1,1
52,222,0,1,0
52,86,0,1,0
52,118,0,1,0
52,118,0,1,0
52,110,0,1,0
52,714,0,1,0
52,896,0,1,0
52,60,0,1,0
52,160,0,1,0
52,116,0,1,0
52,728,0,1,0
52,1226,0,1,0
52,519,0,1,1
52,563,0,1,1
52,367,0,1,1
52,130,0,1,0
52,134,0,1,0
52,439,0,1,1
52,1419,0,1,1
52,318,0,1,0
52,36,0,1,0
52,380,0,1,0
52,558,0,1,0
52,94,0,1,0
52,287,0,1,1
52,198,0,1,0
52,418,0,1,0
52,221,0,1,1
52,170,0,1,0
52,333,0,1,1
52,358,0,1,0
52,164,0,1,0
52,480,0,1,0
52,150,0,1,0
52,72,0,1,0
52,1224,0,1,0
52,135,0,1,0
52,242,0,1,0
52,90,0,1,0
52,180,0,1,0
52,266,0,1,0
52,448,0,1,0
52,770,0,1,0
52,168,0,1,0
52,693,0,1,1
52,573,0,1,1
52,244,0,1,0
52,104,0,1,0
52,98,0,1,0
52,202,0,1,0
52,92,0,1,0
52,158,0,1,0
52,90,0,1,0
52,941,0,1,1
52,221,0,1,1
52,108,0,1,1
52,214,0,1,0
52,138,0,1,0
52,166,0,1,0
52,242,0,1,0
52,94,0,1,0
52,366,0,1,0
52,317,0,1,0
52,436,0,1,0
52,484,0,1,0
52,665,0,1,1
52,254,0,1,0
52,756,0,1,0
52,218,0,1,0
52,50,0,1,0
52,579,0,1,1
52,151,0,1,1
52,430,0,1,0
52,115,0,1,1
52,432,0,1,0
52,309,0,1,1
52,407,0,1,1
52,791,0,1,1
52,54,0,1,0
52,170,0,1,0
52,1078,0,1,0
52,140,0,1,0
52,1032,0,1,0
52,614,0,1,0
52,231,0,1,1
52,862,0,1,0
52,142,0,1,0
52,114,0,1,0
52,68,0,1,0
52,128,0,1,0
52,154,0,1,0
52,148,0,1,0
52,830,0,1,0
52,281,0,1,1
52,322,0,1,0
52,332,0,1,0
52,292,0,1,0
52,452,0,1,0
52,630,0,1,0
52,516,0,1,0
52,873,0,1,1
52,950,0,1,0
52,126,0,1,0
52,462,0,1,0
52,892,0,1,0
52,250,0,1,0
52,1781,0,1,1
52,762,0,1,0
52,420,0,1,0
52,698,0,1,0
52,378,0,1,0
52,66,0,1,0
52,747,0,1,1
52,405,0,1,1
52,758,0,1,0
52,772,0,1,0
52,316,0,1,0
52,156,0,1,0
52,680,0,1,0
52,81,0,1,0
52,462,0,1,0
52,434,0,1,0
52,182,0,1,0
52,220,0,1,0
52,62,0,1,0
52,284,0,1,0
52,58,0,1,0
52,122,0,1,0
52,40,0,1,0
52,196,0,1,0
52,440,0,1,0
52,54,0,1,0
52,621,0,1,1
52,192,0,1,0
52,850,0,1,0
52,239,0,1,1
52,744,0,1,0
52,82,0,1,0
52,162,0,1,0
52,921,0,1,1
52,442,0,1,1
52,792,0,1,0
52,200,0,1,0
52,173,0,1,1
52,1045,0,1,1
52,1426,0,1,0
52,137,0,1,1
52,60,0,1,0
52,911,0,1,1
52,970,0,1,1
52,238,0,1,1
52,313,0,1,1
52,270,0,1,0
52,160,0,1,0
52,292,0,1,0
52,1015,0,1,1
52,153,0,1,1
52,152,0,1,0
52,335,0,1,0
52,52,0,1,0
52,140,0,1,0
52,64,0,1,0
52,273,0,1,1
52,45,0,1,1
52,164,0,1,0
52,266,0,1,0
52,264,0,1,0
52,166,0,1,0
52,140,0,1,0
52,268,0,1,0
52,198,0,1,0
52,364,0,1,0
52,281,0,1,1
52,312,0,1,0
52,887,0,1,1
52,519,0,1,1
52,881,0,1,1
52,237,0,1,1
52,612,0,1,1
52,130,0,1,0
52,336,0,1,0
52,172,0,1,0
52,815,0,1,1
52,382,0,1,0
52,59,0,1,1
52,582,0,1,0
52,363,0,1,0
52,1043,0,1,1
52,82,0,1,0
52,229,0,1,1
52,1734,0,1,0
52,98,0,1,0
52,104,0,1,0
52,110,0,1,0
52,352,0,1,0
52,288,0,1,0
52,923,0,1,1
52,657,0,1,1
52,210,0,1,0
52,188,0,1,0
52,279,0,1,1
52,226,0,1,0
52,411,0,1,1
52,315,0,1,1
52,804,0,1,1
52,420,0,1,0
52,532,0,1,0
52,120,0,1,0
52,191,0,1,1
52,880,0,1,0
52,50,0,1,0
52,86,0,1,0
52,130,0,1,0
52,178,0,1,0
52,130,0,1,0
52,120,0,1,0
52,106,0,1,0
52,206,0,1,0
52,1174,0,1,0
52,300,0,1,0
52,158,0,1,0
52,192,0,1,0
52,1584,0,1,0
52,329,0,1,1
52,868,0,1,0
52,362,0,1,0
52,237,0,1,1
52,80,0,1,1
52,70,0,1,0
52,849,0,1,1
52,640,0,1,0
52,384,0,1,0
52,156,0,1,0
52,293,0,1,1
52,690,0,1,0
52,514,0,1,0
52,208,0,1,0
52,83,0,1,1
52,881,0,1,1
52,335,0,1,1
52,112,0,1,0
52,1723,0,1,1
52,524,0,1,0
52,646,0,1,0
52,1203,0,1,1
52,137,0,1,1
52,1278,0,1,1
52,152,0,1,0
52,205,0,1,1
52,364,0,1,0
52,460,0,1,0
52,167,0,1,1
52,322,0,1,1
52,448,0,1,0
52,90,0,1,0
52,84,0,1,0
52,266,0,1,0
52,458,0,1,0
52,541,0,1,1
52,225,0,1,1
52,324,0,1,0
52,360,0,1,0
52,475,0,1,1
52,62,0,1,0
52,68,0,1,0
52,177,0,1,1
52,123,0,1,1
52,939,0,1,1
52,394,0,1,0
52,256,0,1,0
52,394,0,1,0
52,180,0,1,0
52,156,0,1,0
52,224,0,1,0
52,847,0,1,1
52,479,0,1,1
52,238,0,1,0
52,251,0,1,1
52,372,0,1,0
52,172,0,1,0
52,684,0,1,0
52,782,0,1,0
52,122,0,1,0
52,196,0,1,0
52,388,0,1,0
52,211,0,1,1
52,274,0,1,0
52,670,0,1,0
52,56,0,1,0
52,508,0,1,0
52,241,0,1,1
52,70,0,1,0
52,989,0,1,1
52,302,0,1,0
52,154,0,1,0
52,421,0,1,1
52,458,0,1,0
52,274,0,1,0
52,281,0,1,1
52,350,0,1,0
52,564,0,1,0
52,795,0,1,1
52,102,0,1,0
52,170,0,1,0
52,368,0,1,0
52,196,0,1,0
52,473,0,1,0
52,610,0,1,0
52,231,0,1,1
52,578,0,1,0
52,136,0,1,0
52,317,0,1,1
52,934,0,1,0
52,118,0,1,0
52,148,0,1,0
52,494,0,1,0
52,127,0,1,1
52,110,0,1,0
52,380,0,1,0
52,245,0,1,1
52,274,0,1,0
52,173,0,1,1
52,214,0,1,0
52,274,0,1,0
52,863,0,1,1
52,204,0,1,0
52,483,0,1,1
52,196,0,1,0
52,1397,0,1,1
52,1005,0,1,1
52,146,0,1,0
52,614,0,1,0
52,949,0,1,1
52,1888,0,1,0
52,492,0,1,0
52,246,0,1,0
52,851,0,1,1
52,58,0,1,0
52,415,0,1,1
52,698,0,1,0
52,645,0,1,1
52,362,0,1,0
52,1524,0,1,0
52,349,0,1,1
52,362,0,1,0
52,86,0,1,0
52,146,0,1,0
52,322,0,1,0
52,351,0,1,1
52,216,0,1,0
52,407,0,1,1
52,286,0,1,0
52,474,0,1,0
52,160,0,1,0
52,1144,0,1,0
52,298,0,1,0
52,211,0,1,0
52,470,0,1,0
52,108,0,1,0
52,369,0,1,1
52,50,0,1,0
52,678,0,1,0
52,403,0,1,1
52,1120,0,1,0
52,538,0,1,0
52,246,0,1,0
52,122,0,1,0
52,146,0,1,0
52,1780,0,1,0
52,230,0,1,0
52,146,0,1,0
52,168,0,1,0
52,164,0,1,0
52,112,0,1,0
52,350,0,1,0
52,313,0,1,1
52,671,0,1,1
52,613,0,1,1
52,272,0,1,0
52,144,0,1,0
52,217,0,1,1
52,124,0,1,0
52,163,0,1,1
52,188,0,1,0
52,395,0,1,1
52,1051,0,1,1
52,1061,0,1,1
52,70,0,1,0
52,380,0,1,0
52,106,0,1,0
52,214,0,1,1
52,777,0,1,1
52,116,0,1,0
52,247,0,1,1
52,86,0,1,0
52,82,0,1,0
52,705,0,1,1
52,125,0,1,1
52,120,0,1,0
52,94,0,1,0
52,307,0,1,1
52,64,0,1,0
52,1192,0,1,0
52,840,0,1,0
52,678,0,1,0
52,343,0,1,1
52,543,0,1,1
52,624,0,1,0
52,858,0,1,0
52,296,0,1,0
52,206,0,1,0
52,200,0,1,1
52,744,0,1,0
52,343,0,1,1
52,2122,0,1,0
52,268,0,1,0
52,130,0,1,0
52,1559,0,1,1
52,210,0,1,0
52,594,0,1,0
52,884,0,1,0
52,96,0,1,0
52,274,0,1,0
52,62,0,1,0
52,1042,0,1,0
52,302,0,1,0
52,753,0,1,1
52,618,0,1,0
52,96,0,1,0
52,646,0,1,0
52,298,0,1,0
52,318,0,1,0
52,1292,0,1,0
52,488,0,1,0
52,508,0,1,0
52,732,0,1,0
52,1660,0,1,0
52,116,0,1,0
52,1210,0,1,0
52,827,0,1,1
52,420,0,1,0
52,240,0,1,0
52,762,0,1,0
52,156,0,1,0
52,78,0,1,0
52,352,0,1,0
52,657,0,1,1
52,407,0,1,1
52,96,0,1,0
52,708,0,1,0
52,388,0,1,1
52,1179,0,1,1
52,1055,0,1,1
52,384,0,1,0
52,604,0,1,0
52,62,0,1,0
52,511,0,1,1
52,665,0,1,1
52,259,0,1,1
52,1466,0,1,0
52,246,0,1,0
52,364,0,1,0
52,392,0,1,0
52,460,0,1,0
52,112,0,1,0
52,300,0,1,0
52,723,0,1,1
52,404,0,1,0
52,578,0,1,0
52,368,0,1,0
52,747,0,1,1
52,245,0,1,1
52,205,0,1,1
52,888,0,1,0
52,218,0,1,0
52,51,0,1,0
52,80,0,1,0
52,368,0,1,0
52,171,0,1,1
52,116,0,1,0
52,500,0,1,0
52,482,0,1,0
52,266,0,1,0
