Deck size,Moves,Player1Strategy,Player2Strategy,Winner
52,658,0,2,0
52,985,0,2,1
52,820,0,2,0
52,1665,0,2,0
52,518,0,2,0
52,630,0,2,0
52,97,0,2,1
52,249,0,2,1
52,434,0,2,0
52,291,0,2,1
52,240,0,2,0
52,522,0,2,0
52,201,0,2,1
52,1411,0,2,1
52,75,0,2,1
52,431,0,2,1
52,711,0,2,1
52,218,0,2,0
52,477,0,2,1
52,679,0,2,1
52,429,0,2,1
52,218,0,2,0
52,882,0,2,0
52,330,0,2,0
52,380,0,2,0
52,128,0,2,0
52,531,0,2,1
52,1556,0,2,0
52,189,0,2,1
52,357,0,2,1
52,1079,0,2,1
52,119,0,2,1
52,1108,0,2,0
52,86,0,2,0
52,384,0,2,0
52,1133,0,2,1
52,403,0,2,1
52,134,0,2,0
52,93,0,2,1
52,269,0,2,1
52,1534,0,2,1
52,495,0,2,1
52,913,0,2,1
52,760,0,2,0
52,729,0,2,1
52,316,0,2,0
52,1970,0,2,0
52,318,0,2,0
52,175,0,2,1
52,432,0,2,1
52,75,0,2,1
52,139,0,2,1
52,114,0,2,0
52,297,0,2,1
52,966,0,2,0
52,747,0,2,1
52,207,0,2,1
52,289,0,2,1
52,354,0,2,1
52,131,0,2,1
52,417,0,2,1
52,521,0,2,1
52,1254,0,2,0
52,199,0,2,1
52,213,0,2,1
52,536,0,2,0
52,2251,0,2,1
52,327,0,2,1
52,641,0,2,1
52,648,0,2,0
52,356,0,2,0
52,180,0,2,0
52,112,0,2,0
52,108,0,2,0
52,260,0,2,0
52,387,0,2,1
52,258,0,2,0
52,244,0,2,0
52,1260,0,2,0
52,222,0,2,0
52,293,0,2,1
52,250,0,2,0
52,368,0,2,0
52,286,0,2,0
52,462,0,2,0
52,160,0,2,0
52,1538,0,2,0
52,276,0,2,0
52,618,0,2,0
52,639,0,2,1
52,266,0,2,0
52,202,0,2,0
52,1614,0,2,0
52,899,0,2,1
52,113,0,2,1
52,737,0,2,1
52,667,0,2,1
52,182,0,2,0
52,307,0,2,1
52,167,0,2,1
52,530,0,2,0
52,289,0,2,1
52,107,0,2,1
52,456,0,2,1
52,519,0,2,1
52,488,0,2,0
52,168,0,2,0
52,3093,0,2,1
52,536,0,2,0
52,245,0,2,1
52,707,0,2,1
52,820,0,2,0
52,782,0,2,0
52,239,0,2,1
52,994,0,2,0
52,1065,0,2,1
52,2012,0,2,0
52,139,0,2,1
52,2461,0,2,1
52,153,0,2,1
52,734,0,2,0
52,1623,0,2,1
52,264,0,2,1
52,379,0,2,1
52,1751,0,2,1
52,803,0,2,1
52,273,0,2,1
52,455,0,2,1
52,253,0,2,1
52,199,0,2,1
52,649,0,2,1
52,160,0,2,0
52,99,0,2,1
52,233,0,2,1
52,519,0,2,0
52,703,0,2,1
52,630,0,2,1
52,168,0,2,1
52,322,0,2,0
52,483,0,2,1
52,736,0,2,0
52,529,0,2,1
52,101,0,2,1
52,1809,0,2,1
52,965,0,2,1
52,124,0,2,0
52,525,0,2,1
52,456,0,2,0
52,1153,0,2,1
52,111,0,2,1
52,311,0,2,1
52,525,0,2,1
52,758,0,2,0
52,97,0,2,1
52,457,0,2,1
52,493,0,2,1
52,898,0,2,0
52,401,0,2,1
52,1481,0,2,1
52,1724,0,2,0
52,106,0,2,0
52,2001,0,2,1
52,90,0,2,0
52,1620,0,2,0
52,577,0,2,1
52,283,0,2,1
52,103,0,2,1
52,265,0,2,1
52,81,0,2,1
52,339,0,2,1
52,753,0,2,1
52,336,0,2,0
52,331,0,2,1
52,264,0,2,0
52,349,0,2,1
52,144,0,2,0
52,436,0,2,0
52,305,0,2,1
52,316,0,2,0
52,307,0,2,1
52,489,0,2,1
52,822,0,2,0
52,250,0,2,0
52,1183,0,2,1
52,728,0,2,0
52,681,0,2,1
52,474,0,2,0
52,712,0,2,0
52,982,0,2,0
52,561,0,2,1
52,143,0,2,1
52,578,0,2,0
52,252,0,2,0
52,1389,0,2,1
52,177,0,2,1
52,224,0,2,0
52,158,0,2,0
52,459,0,2,1
52,671,0,2,1
52,200,0,2,0
52,191,0,2,1
52,160,0,2,1
52,278,0,2,0
52,620,0,2,0
52,672,0,2,0
52,413,0,2,1
52,471,0,2,1
52,910,0,2,0
52,95,0,2,1
52,187,0,2,1
52,282,0,2,0
52,159,0,2,1
52,1245,0,2,1
52,365,0,2,1
52,360,0,2,0
52,233,0,2,1
52,142,0,2,0
52,875,0,2,1
52,138,0,2,0
52,200,0,2,0
52,863,0,2,1
52,328,0,2,0
52,404,0,2,0
52,1443,0,2,1
52,154,0,2,1
52,372,0,2,0
52,772,0,2,0
52,167,0,2,1
52,63,0,2,1
52,112,0,2,0
52,133,0,2,1
52,194,0,2,0
52,362,0,2,0
52,802,0,2,0
52,183,0,2,1
52,327,0,2,1
52,1129,0,2,1
52,89,0,2,1
52,101,0,2,1
52,236,0,2,0
52,193,0,2,1
52,859,0,2,1
52,929,0,2,1
52,516,0,2,0
52,243,0,2,1
52,694,0,2,1
52,299,0,2,1
52,305,0,2,1
52,1119,0,2,1
52,221,0,2,1
52,488,0,2,0
52,422,0,2,0
52,787,0,2,1
52,1804,0,2,0
52,383,0,2,1
52,1119,0,2,1
52,134,0,2,1
52,626,0,2,0
52,174,0,2,0
52,469,0,2,1
52,229,0,2,1
52,901,0,2,1
52,297,0,2,1
52,542,0,2,0
52,262,0,2,0
52,418,0,2,0
52,161,0,2,1
52,590,0,2,0
52,550,0,2,0
52,250,0,2,0
52,606,0,2,0
52,433,0,2,1
52,1030,0,2,0
52,377,0,2,1
52,317,0,2,1
52,604,0,2,0
52,171,0,2,1
52,651,0,2,1
52,442,0,2,0
52,275,0,2,1
52,554,0,2,1
52,532,0,2,0
52,78,0,2,0
52,1223,0,2,1
52,831,0,2,1
52,808,0,2,1
52,255,0,2,1
52,886,0,2,0
52,463,0,2,1
52,124,0,2,1
52,546,0,2,0
52,798,0,2,0
52,317,0,2,1
52,347,0,2,1
52,191,0,2,1
52,208,0,2,0
52,887,0,2,1
52,440,0,2,0
52,201,0,2,1
52,358,0,2,0
52,1169,0,2,1
52,492,0,2,0
52,776,0,2,0
52,1074,0,2,0
