Deck size,Moves,Player1Strategy,Player2Strategy,Winner
52,210,1,1,0
52,323,1,1,1
52,270,1,1,0
52,328,1,1,0
52,220,1,1,0
52,423,1,1,1
52,175,1,1,1
52,103,1,1,1
52,532,1,1,0
52,305,1,1,1
52,664,1,1,0
52,296,1,1,0
52,567,1,1,1
52,389,1,1,1
52,716,1,1,0
52,91,1,1,0
52,160,1,1,0
52,202,1,1,0
52,131,1,1,1
52,287,1,1,1
52,346,1,1,0
52,319,1,1,1
52,114,1,1,0
52,196,1,1,0
52,50,1,1,0
52,586,1,1,0
52,848,1,1,0
52,142,1,1,1
52,196,1,1,0
52,561,1,1,1
52,135,1,1,1
52,76,1,1,0
52,504,1,1,0
52,115,1,1,1
52,1469,1,1,1
52,188,1,1,0
52,230,1,1,0
52,1200,1,1,0
52,286,1,1,0
52,78,1,1,0
52,160,1,1,0
52,1258,1,1,0
52,592,1,1,0
52,341,1,1,1
52,992,1,1,1
52,257,1,1,0
52,164,1,1,0
52,138,1,1,0
52,249,1,1,1
52,140,1,1,0
52,231,1,1,1
52,386,1,1,0
52,275,1,1,1
52,349,1,1,1
52,288,1,1,0
52,617,1,1,1
52,323,1,1,1
52,682,1,1,0
52,451,1,1,1
52,70,1,1,0
52,492,1,1,0
52,620,1,1,0
52,1289,1,1,1
52,98,1,1,0
52,163,1,1,1
52,1300,1,1,0
52,425,1,1,1
52,354,1,1,0
52,355,1,1,1
52,292,1,1,0
52,526,1,1,0
52,463,1,1,1
52,549,1,1,1
52,878,1,1,0
52,241,1,1,1
52,371,1,1,1
52,603,1,1,1
52,74,1,1,0
52,407,1,1,1
52,669,1,1,1
52,664,1,1,0
52,276,1,1,0
52,96,1,1,0
52,179,1,1,1
52,503,1,1,1
52,108,1,1,1
52,134,1,1,0
52,438,1,1,0
52,161,1,1,1
52,238,1,1,0
52,559,1,1,1
52,203,1,1,1
52,1010,1,1,0
52,1149,1,1,1
52,174,1,1,0
52,884,1,1,0
52,203,1,1,1
52,120,1,1,0
52,183,1,1,1
