Deck size,Moves,Player1Strategy,Player2Strategy,Winner
52,362,0,1,0
52,90,0,1,0
52,108,0,1,0
52,260,0,1,0
52,202,0,1,0
52,110,0,1,0
52,236,0,1,0
52,272,0,1,0
52,182,0,1,0
52,560,0,1,0
52,168,0,1,0
52,290,0,1,0
52,274,0,1,0
52,192,0,1,0
52,176,0,1,0
52,220,0,1,0
52,230,0,1,0
52,218,0,1,0
52,82,0,1,0
52,494,0,1,0
52,262,0,1,0
52,208,0,1,0
52,178,0,1,0
52,210,0,1,0
52,142,0,1,0
52,494,0,1,0
52,496,0,1,0
52,52,0,1,0
52,236,0,1,0
52,126,0,1,0
52,140,0,1,0
52,84,0,1,0
52,60,0,1,0
52,324,0,1,0
52,56,0,1,0
52,322,0,1,0
52,92,0,1,0
52,146,0,1,0
52,390,0,1,0
52,94,0,1,0
52,1228,0,1,0
52,300,0,1,0
52,634,0,1,0
52,300,0,1,0
52,369,0,1,1
52,90,0,1,0
52,138,0,1,0
52,508,0,1,0
52,110,0,1,0
52,240,0,1,0
52,260,0,1,0
52,68,0,1,0
52,250,0,1,0
52,42,0,1,0
52,578,0,1,0
52,516,0,1,0
52,308,0,1,0
52,182,0,1,0
52,310,0,1,0
52,200,0,1,0
52,158,0,1,0
52,208,0,1,0
52,140,0,1,0
52,566,0,1,0
52,54,0,1,0
52,52,0,1,0
52,756,0,1,0
52,132,0,1,0
52,128,0,1,0
52,204,0,1,0
52,138,0,1,0
52,400,0,1,0
52,568,0,1,0
52,352,0,1,0
52,300,0,1,0
52,104,0,1,0
52,236,0,1,0
52,94,0,1,0
52,120,0,1,0
52,374,0,1,0
52,88,0,1,0
52,204,0,1,0
52,268,0,1,0
52,624,0,1,0
52,520,0,1,0
52,756,0,1,0
52,110,0,1,0
52,226,0,1,0
52,240,0,1,0
52,474,0,1,0
52,100,0,1,0
52,576,0,1,0
52,350,0,1,0
52,385,0,1,1
52,80,0,1,0
52,242,0,1,0
52,744,0,1,0
52,136,0,1,0
52,46,0,1,0
52,250,0,1,0
52,406,0,1,0
52,88,0,1,0
52,94,0,1,0
52,92,0,1,0
52,304,0,1,0
52,215,0,1,1
52,178,0,1,0
52,318,0,1,0
52,278,0,1,0
52,364,0,1,0
52,164,0,1,0
52,128,0,1,0
52,320,0,1,0
52,100,0,1,0
52,556,0,1,0
52,74,0,1,0
52,350,0,1,0
52,212,0,1,1
52,266,0,1,0
52,192,0,1,0
52,64,0,1,0
52,86,0,1,0
52,265,0,1,1
52,278,0,1,0
52,186,0,1,0
52,86,0,1,0
52,442,0,1,0
52,310,0,1,0
52,414,0,1,0
52,208,0,1,0
52,448,0,1,0
52,102,0,1,0
52,102,0,1,0
52,154,0,1,0
52,346,0,1,0
52,386,0,1,0
52,180,0,1,0
52,358,0,1,0
52,310,0,1,0
52,368,0,1,0
52,334,0,1,0
52,274,0,1,0
52,178,0,1,0
52,732,0,1,0
52,552,0,1,0
52,208,0,1,0
52,100,0,1,0
52,140,0,1,0
52,104,0,1,0
52,382,0,1,0
52,178,0,1,0
52,256,0,1,0
52,198,0,1,0
52,508,0,1,0
52,299,0,1,0
52,199,0,1,1
52,474,0,1,0
52,328,0,1,0
52,604,0,1,0
52,174,0,1,0
52,551,0,1,1
52,1554,0,1,0
52,170,0,1,0
52,372,0,1,0
52,354,0,1,0
52,250,0,1,0
52,96,0,1,0
52,196,0,1,0
52,212,0,1,0
52,110,0,1,0
52,674,0,1,0
52,184,0,1,0
52,68,0,1,0
52,108,0,1,0
52,220,0,1,0
52,96,0,1,0
52,280,0,1,0
52,88,0,1,0
52,536,0,1,0
52,501,0,1,1
52,132,0,1,0
52,204,0,1,0
52,176,0,1,0
52,146,0,1,0
52,168,0,1,0
52,152,0,1,0
52,444,0,1,0
52,214,0,1,0
52,92,0,1,0
52,82,0,1,0
52,228,0,1,0
52,287,0,1,1
52,474,0,1,0
52,396,0,1,0
52,778,0,1,0
52,146,0,1,0
52,74,0,1,0
52,36,0,1,0
52,248,0,1,0
52,321,0,1,1
52,146,0,1,0
52,384,0,1,0
52,376,0,1,0
52,164,0,1,0
52,280,0,1,0
52,236,0,1,0
52,82,0,1,0
52,256,0,1,0
52,104,0,1,0
52,335,0,1,1
52,532,0,1,0
52,48,0,1,0
52,198,0,1,0
52,104,0,1,0
52,1252,0,1,0
52,622,0,1,0
52,720,0,1,0
52,798,0,1,0
52,116,0,1,0
52,188,0,1,0
52,1066,0,1,0
52,150,0,1,0
52,54,0,1,0
52,116,0,1,0
52,272,0,1,0
52,430,0,1,0
52,256,0,1,0
52,707,0,1,1
52,138,0,1,0
52,194,0,1,0
52,360,0,1,0
52,510,0,1,1
52,296,0,1,0
52,88,0,1,0
52,730,0,1,0
52,130,0,1,0
52,628,0,1,0
52,422,0,1,0
52,116,0,1,0
52,194,0,1,0
52,722,0,1,0
52,262,0,1,0
52,2014,0,1,0
52,204,0,1,0
52,198,0,1,0
52,268,0,1,0
52,72,0,1,0
52,334,0,1,0
52,162,0,1,0
