Deck size,Moves,Player1Strategy,Player2Strategy,Winner
52,37424,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,119,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,519,2,2,1
52,184,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,204,2,2,1
52,15198,2,2,0
52,17206,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,89,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,16276,2,2,0
52,210,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,228,2,2,0
52,70,2,2,0
52,191,2,2,1
52,334,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,41078,2,2,0
52,-1,2,2,0
52,260,2,2,0
52,-1,2,2,0
52,400,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,212,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,13632,2,2,0
52,-1,2,2,0
52,249,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,19960,2,2,0
52,23082,2,2,0
52,15886,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,96,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,324,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,187,2,2,1
52,-1,2,2,1
52,3640,2,2,0
52,-1,2,2,0
52,127,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,303,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,289,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,233,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
