Deck size,Moves,Player1Strategy,Player2Strategy,Winner
52,3886,2,2,0
52,424,2,2,0
52,-1,2,2,0
52,190,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,4574,2,2,0
52,-1,2,2,0
52,5733,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,7310,2,2,0
52,-1,2,2,0
52,9022,2,2,0
52,-1,2,2,0
52,9294,2,2,0
52,-1,2,2,0
52,138,2,2,1
52,285,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,3976,2,2,0
52,-1,2,2,0
52,10858,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,552,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,7886,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,2825,2,2,1
52,4952,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,7669,2,2,1
52,-1,2,2,1
52,558,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,1036,2,2,0
52,12060,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,122,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,4930,2,2,0
52,-1,2,2,0
52,1950,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,8215,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,450,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,3172,2,2,0
52,-1,2,2,0
52,1158,2,2,0
52,-1,2,2,0
52,12311,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,16684,2,2,0
52,-1,2,2,0
52,4856,2,2,1
52,4573,2,2,0
52,20536,2,2,0
52,-1,2,2,0
52,7746,2,2,0
52,190,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,192,2,2,0
52,-1,2,2,0
52,21715,2,2,1
52,978,2,2,0
52,274,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,3612,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,8951,2,2,1
52,-1,2,2,1
52,1879,2,2,1
52,-1,2,2,1
52,107,2,2,1
52,14886,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,18063,2,2,1
52,587,2,2,1
52,4787,2,2,1
52,137,2,2,1
52,16204,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,658,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,19756,2,2,0
52,-1,2,2,0
52,135,2,2,1
52,-1,2,2,1
52,8001,2,2,1
52,-1,2,2,1
52,313,2,2,1
52,1472,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,316,2,2,0
52,-1,2,2,0
52,165,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,16790,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,141,2,2,1
52,-1,2,2,1
52,6289,2,2,1
52,2572,2,2,0
52,-1,2,2,0
52,269,2,2,1
52,416,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,11528,2,2,0
52,-1,2,2,0
52,302,2,2,0
52,-1,2,2,0
52,19132,2,2,0
52,103,2,2,1
52,11647,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,4194,2,2,0
52,-1,2,2,0
52,6026,2,2,0
52,-1,2,2,0
52,7797,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,10913,2,2,1
52,4570,2,2,0
52,-1,2,2,0
52,217,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,5704,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,192,2,2,0
52,-1,2,2,0
52,618,2,2,0
52,-1,2,2,0
52,7251,2,2,1
52,-1,2,2,1
52,170,2,2,0
52,143,2,2,1
52,718,2,2,0
52,-1,2,2,0
52,1542,2,2,0
52,377,2,2,1
52,17323,2,2,1
52,5040,2,2,0
52,-1,2,2,0
52,170,2,2,0
52,454,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,121,2,2,1
52,-1,2,2,1
52,4503,2,2,1
52,3868,2,2,0
52,3548,2,2,0
52,-1,2,2,0
52,192,2,2,0
52,-1,2,2,0
52,10517,2,2,1
52,16863,2,2,1
52,6762,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,431,2,2,1
52,-1,2,2,1
52,6086,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,2780,2,2,0
52,-1,2,2,0
52,111,2,2,1
52,-1,2,2,1
52,4595,2,2,1
52,102,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,2280,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,10942,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,2502,2,2,0
52,-1,2,2,0
52,14736,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,107,2,2,1
52,7706,2,2,0
52,-1,2,2,0
52,2327,2,2,1
52,-1,2,2,1
52,4232,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,9420,2,2,0
52,-1,2,2,0
52,10206,2,2,0
52,-1,2,2,0
52,20286,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,8085,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,484,2,2,1
52,106,2,2,1
52,4596,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,5946,2,2,0
52,-1,2,2,0
52,257,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,404,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,10010,2,2,0
52,-1,2,2,0
52,10537,2,2,1
52,-1,2,2,1
52,181,2,2,1
52,-1,2,2,1
52,10590,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,458,2,2,0
52,-1,2,2,0
52,8309,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,5056,2,2,1
52,198,2,2,1
52,6460,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,168,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,11430,2,2,0
52,-1,2,2,0
52,8977,2,2,1
52,-1,2,2,1
52,11375,2,2,1
52,59,2,2,1
52,17271,2,2,1
52,-1,2,2,1
52,4879,2,2,1
52,730,2,2,1
52,920,2,2,1
52,4198,2,2,0
52,-1,2,2,0
52,123,2,2,1
52,165,2,2,1
52,10979,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,98,2,2,1
52,20127,2,2,1
52,3895,2,2,1
52,-1,2,2,1
52,356,2,2,0
52,-1,2,2,0
52,236,2,2,0
52,-1,2,2,0
52,1302,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,267,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,11230,2,2,0
52,-1,2,2,0
52,31256,2,2,0
52,4107,2,2,1
52,5151,2,2,1
52,1243,2,2,1
52,-1,2,2,1
52,10565,2,2,1
52,693,2,2,1
52,16493,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,14777,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,3844,2,2,0
52,257,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,21241,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,1136,2,2,0
52,265,2,2,1
52,-1,2,2,1
52,25060,2,2,0
52,-1,2,2,0
52,24150,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,17387,2,2,1
52,7995,2,2,1
52,2784,2,2,0
52,-1,2,2,0
52,142,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,1958,2,2,0
52,16256,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,157,2,2,1
52,-1,2,2,1
52,11548,2,2,0
52,230,2,2,0
52,-1,2,2,0
52,148,2,2,0
52,-1,2,2,0
52,109,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,748,2,2,0
52,-1,2,2,0
52,6470,2,2,0
52,-1,2,2,0
52,132,2,2,1
52,7677,2,2,1
52,208,2,2,1
52,10854,2,2,0
52,-1,2,2,0
52,6310,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,4757,2,2,1
52,8940,2,2,0
52,-1,2,2,0
52,103,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,274,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,1034,2,2,0
52,102,2,2,0
52,210,2,2,0
52,125,2,2,1
52,16469,2,2,1
52,217,2,2,1
52,-1,2,2,1
52,4643,2,2,1
52,5539,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,1824,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,3793,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,3511,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,13771,2,2,1
52,53308,2,2,0
52,-1,2,2,0
52,6619,2,2,1
52,-1,2,2,1
52,5814,2,2,0
52,14683,2,2,1
52,550,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,263,2,2,1
52,165,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,127,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,258,2,2,1
52,2933,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,6773,2,2,1
52,-1,2,2,1
52,-1,2,2,1
52,16426,2,2,0
52,-1,2,2,0
52,-1,2,2,0
52,442,2,2,0
52,-1,2,2,0
52,-1,2,2,0
