Deck size,Moves,Variant,Winner
28,86,0,0
28,120,0,1
28,36,0,0
28,190,0,0
28,118,0,0
28,26,0,1
28,42,0,1
28,138,0,0
28,78,0,0
28,46,0,0
28,36,0,0
28,30,0,0
28,108,0,1
28,78,0,1
28,72,0,0
28,174,0,0
28,196,0,0
28,52,0,0
28,182,0,1
28,20,0,0
28,84,0,0
28,184,0,0
28,192,0,0
28,24,0,0
28,60,0,0
28,114,0,1
28,46,0,1
28,24,0,0
28,32,0,1
28,188,0,0
28,176,0,0
28,54,0,0
28,114,0,1
28,116,0,1
28,32,0,0
28,42,0,0
28,106,0,0
28,40,0,1
28,66,0,0
28,42,0,0
28,102,0,0
28,136,0,1
28,128,0,1
28,62,0,1
28,42,0,0
28,66,0,1
28,78,0,0
28,90,0,0
28,110,0,1
28,56,0,1
28,18,0,0
28,54,0,0
28,84,0,0
28,50,0,0
28,118,0,0
28,42,0,0
28,196,0,0
28,16,0,0
28,88,0,0
28,26,0,1
28,44,0,0
28,40,0,0
28,34,0,0
28,28,0,0
28,40,0,1
28,44,0,1
28,68,0,0
28,22,0,1
28,108,0,0
28,34,0,0
28,44,0,0
28,30,0,1
28,50,0,0
28,44,0,1
28,310,0,1
28,52,0,0
28,152,0,0
28,100,0,1
28,58,0,1
28,36,0,0
28,94,0,1
28,66,0,1
28,50,0,1
28,38,0,1
28,80,0,1
28,38,0,0
28,42,0,0
28,64,0,0
28,40,0,0
28,36,0,1
28,26,0,0
28,212,0,0
28,126,0,0
28,34,0,0
28,32,0,0
28,26,0,0
28,130,0,0
28,28,0,0
28,26,0,1
28,46,0,1
28,134,0,1
28,66,0,1
28,112,0,1
28,122,0,0
28,206,0,0
28,64,0,1
28,92,0,1
28,150,0,0
28,44,0,1
28,46,0,0
28,96,0,1
28,160,0,1
28,68,0,0
28,34,0,0
28,64,0,1
28,98,0,1
28,60,0,1
28,140,0,1
28,22,0,0
28,98,0,1
28,40,0,1
28,140,0,0
28,22,0,0
28,82,0,1
28,58,0,1
28,70,0,1
28,44,0,1
28,30,0,0
28,92,0,0
28,62,0,1
28,100,0,1
28,42,0,1
28,22,0,0
28,76,0,0
28,68,0,0
28,104,0,1
28,110,0,0
28,22,0,0
28,56,0,1
28,158,0,0
28,34,0,1
28,30,0,1
28,266,0,0
28,158,0,0
28,78,0,1
28,48,0,1
28,74,0,0
28,84,0,0
28,28,0,0
28,94,0,1
28,172,0,1
28,116,0,0
28,58,0,0
28,44,0,1
28,38,0,1
28,72,0,0
28,30,0,1
28,94,0,1
28,74,0,1
28,146,0,1
28,150,0,0
28,64,0,0
28,40,0,0
28,52,0,0
28,176,0,1
28,42,0,1
28,54,0,1
28,110,0,1
28,26,0,0
28,82,0,1
28,40,0,0
28,24,0,0
28,42,0,0
28,30,0,0
28,50,0,0
28,32,0,0
28,32,0,1
28,110,0,0
28,88,0,1
28,154,0,0
28,32,0,0
28,52,0,1
28,46,0,1
28,20,0,1
28,86,0,1
28,16,0,0
28,154,0,0
28,110,0,0
28,90,0,0
28,30,0,1
28,106,0,1
28,62,0,1
28,16,0,1
28,26,0,0
28,36,0,1
28,48,0,1
28,70,0,0
28,40,0,1
28,42,0,0
28,62,0,0
28,36,0,1
28,24,0,1
28,114,0,0
28,56,0,1
28,48,0,1
28,178,0,0
28,50,0,0
28,98,0,0
28,72,0,1
28,40,0,0
28,42,0,1
28,32,0,1
28,146,0,0
28,18,0,1
28,78,0,1
28,82,0,1
28,14,0,1
28,174,0,0
28,30,0,0
28,100,0,1
28,84,0,1
28,22,0,1
28,52,0,1
28,54,0,1
28,218,0,0
28,118,0,1
28,50,0,0
28,140,0,1
28,112,0,0
28,182,0,1
28,82,0,0
28,26,0,1
28,122,0,1
28,84,0,0
28,180,0,0
28,38,0,0
28,100,0,0
28,296,0,1
28,80,0,0
28,48,0,1
28,128,0,0
28,114,0,1
28,180,0,1
28,82,0,0
28,126,0,1
28,30,0,1
28,84,0,1
28,166,0,0
28,172,0,0
28,66,0,0
28,58,0,0
28,96,0,1
28,48,0,0
28,42,0,0
28,66,0,0
28,72,0,0
28,38,0,1
28,28,0,1
28,184,0,0
28,76,0,1
28,60,0,1
28,214,0,1
28,36,0,1
28,20,0,0
28,30,0,1
28,66,0,1
28,42,0,1
28,42,0,0
28,110,0,1
28,18,0,1
28,26,0,0
28,54,0,0
28,50,0,1
28,130,0,1
28,24,0,1
28,594,0,1
28,64,0,1
28,204,0,1
28,102,0,0
28,62,0,1
28,52,0,0
28,234,0,0
28,24,0,1
28,28,0,1
28,52,0,0
28,38,0,0
28,20,0,0
28,72,0,0
28,74,0,1
28,54,0,0
28,20,0,1
28,26,0,1
28,102,0,0
28,116,0,1
28,22,0,1
28,230,0,1
28,78,0,1
28,372,0,1
28,74,0,0
28,106,0,1
28,34,0,1
28,28,0,1
28,42,0,0
28,108,0,1
28,20,0,1
28,148,0,1
28,114,0,0
28,22,0,1
28,102,0,0
28,56,0,0
28,28,0,0
28,62,0,0
28,86,0,1
28,82,0,0
28,58,0,1
28,48,0,0
28,86,0,1
28,118,0,1
28,42,0,0
28,40,0,1
28,54,0,0
28,202,0,1
28,146,0,0
28,26,0,1
28,22,0,1
28,140,0,0
28,46,0,1
28,70,0,0
28,330,0,1
28,52,0,1
28,92,0,0
28,48,0,1
28,26,0,1
28,70,0,0
28,32,0,0
28,18,0,1
28,24,0,1
28,26,0,0
28,28,0,1
28,210,0,0
28,32,0,1
28,136,0,1
28,144,0,1
28,64,0,0
28,38,0,1
28,122,0,1
28,42,0,1
28,42,0,1
28,28,0,0
28,146,0,0
28,72,0,1
28,56,0,0
28,28,0,1
28,68,0,1
28,40,0,1
28,100,0,0
28,52,0,1
28,48,0,1
28,24,0,0
28,62,0,1
28,272,0,0
28,44,0,0
28,76,0,0
28,46,0,1
28,42,0,0
28,40,0,1
28,26,0,0
28,34,0,0
28,48,0,1
28,82,0,1
28,94,0,0
28,26,0,1
28,52,0,1
28,54,0,1
28,68,0,0
28,72,0,1
28,50,0,0
28,40,0,0
28,30,0,0
28,52,0,0
28,102,0,1
28,116,0,0
28,412,0,0
28,54,0,1
28,70,0,1
28,248,0,1
28,32,0,0
28,32,0,1
28,50,0,1
28,94,0,1
28,52,0,0
28,88,0,1
28,30,0,0
28,50,0,1
28,94,0,1
28,62,0,0
28,106,0,0
28,24,0,0
28,28,0,1
28,54,0,1
28,26,0,1
28,42,0,0
28,24,0,0
28,50,0,0
28,34,0,1
28,28,0,0
28,52,0,0
28,28,0,1
28,58,0,1
28,50,0,0
28,66,0,0
28,260,0,1
28,38,0,0
28,98,0,1
28,146,0,1
28,96,0,1
28,48,0,1
28,32,0,0
28,90,0,0
28,158,0,0
28,16,0,1
28,38,0,1
28,78,0,0
28,144,0,0
28,126,0,1
28,48,0,0
28,90,0,0
28,40,0,1
28,132,0,1
28,246,0,0
28,32,0,1
28,90,0,1
28,264,0,0
28,134,0,0
28,30,0,0
28,64,0,0
28,92,0,0
28,40,0,1
28,76,0,0
28,34,0,0
28,72,0,0
28,38,0,0
28,46,0,0
28,30,0,0
28,68,0,0
28,144,0,1
28,142,0,1
28,136,0,1
28,32,0,0
28,52,0,0
28,92,0,0
28,44,0,1
28,108,0,0
28,30,0,0
28,380,0,0
28,26,0,1
28,48,0,0
28,74,0,1
28,178,0,1
28,118,0,0
28,184,0,1
28,72,0,1
28,52,0,0
28,38,0,1
28,108,0,1
28,24,0,1
28,34,0,0
28,48,0,1
28,144,0,1
28,40,0,0
28,114,0,0
28,168,0,1
28,38,0,1
28,230,0,1
28,38,0,1
28,94,0,0
28,58,0,0
28,44,0,0
28,80,0,0
28,106,0,0
28,112,0,1
28,56,0,0
28,126,0,1
28,102,0,1
28,84,0,0
28,66,0,0
28,32,0,1
28,132,0,0
28,142,0,1
28,128,0,1
28,70,0,0
28,170,0,0
28,64,0,0
28,78,0,0
28,40,0,0
28,56,0,0
28,16,0,0
28,20,0,0
28,76,0,0
28,172,0,1
28,26,0,0
28,80,0,0
28,212,0,1
28,48,0,0
28,66,0,0
28,84,0,1
28,152,0,1
28,110,0,1
28,48,0,1
28,50,0,0
28,50,0,1
28,158,0,1
28,64,0,1
28,156,0,1
28,146,0,0
28,128,0,0
28,22,0,0
28,28,0,0
28,40,0,1
28,80,0,1
28,88,0,0
28,104,0,1
28,44,0,0
28,82,0,0
28,296,0,0
28,54,0,1
28,50,0,1
28,46,0,0
28,98,0,0
28,100,0,1
28,36,0,1
28,20,0,0
28,220,0,0
28,42,0,0
28,54,0,0
28,104,0,0
28,50,0,1
28,156,0,0
28,116,0,1
28,32,0,0
28,28,0,0
28,152,0,1
28,42,0,0
28,94,0,0
28,64,0,0
28,48,0,0
28,62,0,1
28,22,0,0
28,54,0,1
28,164,0,0
28,28,0,1
28,80,0,1
28,50,0,1
28,76,0,0
28,110,0,0
28,42,0,0
28,36,0,0
28,82,0,1
28,20,0,1
28,136,0,1
28,52,0,1
28,22,0,1
28,60,0,1
28,188,0,1
28,268,0,0
28,72,0,1
28,54,0,1
28,46,0,0
28,28,0,0
28,62,0,0
28,40,0,0
28,40,0,0
28,34,0,1
28,182,0,0
28,18,0,0
28,74,0,1
28,76,0,0
28,74,0,0
28,38,0,0
