Deck size,Moves,Variant,Winner
32,78,1,1
32,120,1,1
32,169,1,0
32,144,1,0
32,64,1,0
32,130,1,1
32,200,1,1
32,181,1,1
32,226,1,1
32,66,1,1
32,136,1,1
32,82,1,0
32,118,1,0
32,90,1,0
32,134,1,1
32,420,1,1
32,80,1,0
32,408,1,0
32,72,1,1
32,96,1,1
32,18,1,1
32,60,1,0
32,111,1,1
32,146,1,1
32,228,1,1
32,32,1,1
32,28,1,0
32,90,1,0
32,106,1,1
32,130,1,0
32,196,1,0
32,60,1,0
32,30,1,0
32,34,1,1
32,38,1,1
32,239,1,0
32,52,1,1
32,116,1,1
32,54,1,1
32,180,1,1
32,176,1,1
32,96,1,1
32,140,1,1
32,107,1,0
32,324,1,0
32,84,1,1
32,26,1,0
32,111,1,0
32,290,1,0
32,61,1,0
32,246,1,0
32,166,1,1
32,439,1,1
32,204,1,1
32,64,1,0
32,158,1,0
32,116,1,1
32,202,1,1
32,44,1,0
32,107,1,0
32,56,1,0
32,58,1,0
32,200,1,1
32,74,1,1
32,216,1,1
32,68,1,1
32,76,1,0
32,230,1,0
32,30,1,1
32,46,1,0
32,55,1,1
32,58,1,0
32,74,1,1
32,70,1,1
32,211,1,1
32,473,1,1
32,170,1,1
32,158,1,1
32,276,1,1
32,134,1,1
32,154,1,0
32,50,1,1
32,52,1,1
32,118,1,0
32,124,1,1
32,28,1,1
32,172,1,0
32,74,1,0
32,80,1,1
32,126,1,1
32,46,1,0
32,54,1,1
32,142,1,0
32,42,1,0
32,116,1,1
32,84,1,1
32,257,1,1
32,220,1,0
32,104,1,1
32,122,1,1
32,30,1,1
32,140,1,0
32,38,1,0
32,144,1,1
32,146,1,0
32,130,1,0
32,42,1,1
32,94,1,1
32,300,1,1
32,66,1,0
32,38,1,0
32,64,1,0
32,264,1,1
32,110,1,1
32,62,1,1
32,90,1,0
32,274,1,1
32,165,1,1
32,399,1,0
32,202,1,0
32,228,1,0
32,80,1,0
32,276,1,1
32,111,1,0
32,236,1,1
32,143,1,1
32,243,1,0
32,112,1,1
32,76,1,0
32,155,1,0
32,84,1,1
32,203,1,1
32,56,1,1
32,92,1,0
32,144,1,1
32,302,1,1
32,67,1,0
32,469,1,0
32,302,1,1
32,134,1,0
32,60,1,1
32,138,1,1
32,204,1,0
32,188,1,1
32,148,1,1
32,75,1,0
32,90,1,0
32,38,1,0
32,111,1,0
32,147,1,0
32,156,1,0
32,66,1,1
32,140,1,0
32,196,1,0
32,120,1,1
32,232,1,1
32,181,1,0
32,178,1,1
32,220,1,0
32,66,1,1
32,22,1,0
32,376,1,0
32,42,1,0
32,32,1,1
32,70,1,0
32,311,1,1
32,144,1,1
32,61,1,1
32,289,1,0
32,310,1,1
32,66,1,1
32,72,1,0
32,172,1,0
32,76,1,0
32,84,1,1
32,73,1,0
32,192,1,1
32,30,1,1
32,40,1,1
32,241,1,0
32,26,1,0
32,36,1,1
32,176,1,1
32,134,1,1
32,28,1,1
32,238,1,1
32,296,1,0
32,42,1,0
32,78,1,1
32,88,1,0
32,259,1,0
32,56,1,1
32,240,1,0
32,158,1,1
32,54,1,1
32,82,1,0
32,56,1,1
32,202,1,1
32,331,1,1
32,70,1,0
32,36,1,1
32,48,1,0
32,319,1,0
32,99,1,0
32,44,1,0
32,74,1,0
32,160,1,0
32,84,1,1
32,594,1,0
32,71,1,0
32,46,1,1
32,98,1,1
32,176,1,0
32,276,1,1
32,137,1,0
32,242,1,1
32,82,1,0
32,80,1,0
32,62,1,0
32,38,1,0
32,128,1,0
32,142,1,1
32,64,1,1
32,268,1,0
32,52,1,1
32,136,1,1
32,98,1,0
32,57,1,1
32,78,1,0
32,86,1,1
32,122,1,1
32,88,1,1
32,131,1,1
32,230,1,0
32,105,1,0
32,188,1,0
32,126,1,1
32,30,1,1
32,136,1,0
32,126,1,0
32,196,1,1
32,220,1,1
32,32,1,1
32,314,1,0
32,36,1,1
32,70,1,0
32,40,1,0
32,214,1,0
32,60,1,1
32,110,1,0
32,247,1,0
32,94,1,0
32,48,1,0
32,61,1,0
32,204,1,0
32,127,1,0
32,28,1,1
32,474,1,1
32,80,1,1
32,204,1,1
32,101,1,0
32,49,1,0
32,96,1,0
32,114,1,1
32,28,1,1
32,290,1,0
32,74,1,1
32,146,1,0
32,106,1,1
32,42,1,0
32,46,1,0
32,294,1,1
32,148,1,1
32,94,1,0
32,187,1,1
32,87,1,0
32,51,1,1
32,81,1,0
32,70,1,1
32,28,1,0
32,70,1,0
32,104,1,1
32,278,1,0
32,96,1,1
32,284,1,1
32,104,1,0
32,77,1,1
32,76,1,0
32,114,1,0
32,95,1,0
32,144,1,0
32,60,1,1
32,127,1,1
32,50,1,0
32,74,1,0
32,29,1,0
32,26,1,0
32,34,1,0
32,119,1,1
32,135,1,1
32,42,1,1
32,50,1,1
32,40,1,1
32,72,1,1
32,36,1,0
32,35,1,1
32,282,1,0
32,257,1,0
32,52,1,0
32,102,1,1
32,177,1,1
32,336,1,1
32,48,1,0
32,62,1,1
32,28,1,1
32,40,1,1
32,42,1,0
32,94,1,0
32,191,1,0
32,162,1,0
32,198,1,0
32,68,1,0
32,30,1,1
32,296,1,0
32,98,1,1
32,190,1,1
32,246,1,0
32,252,1,0
32,189,1,0
32,62,1,1
32,155,1,0
32,100,1,1
32,125,1,1
32,72,1,1
32,48,1,1
32,175,1,0
32,40,1,1
32,261,1,0
32,65,1,0
32,104,1,1
32,112,1,0
32,56,1,1
32,498,1,0
32,119,1,1
32,40,1,0
32,30,1,1
32,52,1,1
32,374,1,1
32,300,1,0
32,81,1,1
32,176,1,0
32,46,1,0
32,16,1,1
32,166,1,0
32,108,1,1
32,315,1,1
32,140,1,1
32,200,1,0
32,30,1,1
32,118,1,1
32,96,1,1
32,70,1,1
32,24,1,1
32,149,1,0
32,146,1,0
32,42,1,1
32,104,1,0
32,256,1,0
32,72,1,0
32,38,1,0
32,474,1,1
32,212,1,0
32,155,1,1
32,194,1,0
32,40,1,0
32,266,1,0
32,83,1,1
32,146,1,1
32,68,1,1
32,56,1,0
32,50,1,0
32,166,1,1
32,40,1,1
32,56,1,1
32,64,1,0
32,162,1,0
32,117,1,1
32,110,1,0
32,106,1,0
32,98,1,0
32,78,1,0
32,46,1,1
32,36,1,0
32,352,1,0
32,52,1,1
32,148,1,1
32,64,1,0
32,309,1,1
32,79,1,0
32,90,1,1
32,70,1,1
32,45,1,0
32,64,1,1
32,316,1,0
32,345,1,0
32,230,1,1
32,50,1,1
32,210,1,1
32,36,1,1
32,140,1,1
32,165,1,1
32,80,1,1
32,29,1,1
32,40,1,0
32,100,1,1
32,24,1,0
32,128,1,1
32,536,1,0
32,62,1,0
32,192,1,1
32,157,1,1
32,72,1,1
32,72,1,1
32,330,1,0
32,192,1,1
32,138,1,1
32,32,1,0
32,185,1,0
32,241,1,1
32,372,1,1
32,78,1,0
32,80,1,0
32,428,1,1
32,148,1,0
32,92,1,0
32,170,1,0
32,252,1,1
32,455,1,0
32,148,1,0
32,70,1,0
32,126,1,0
32,274,1,1
32,206,1,1
32,84,1,0
32,72,1,1
32,120,1,0
32,50,1,1
32,56,1,1
32,108,1,1
32,66,1,1
32,258,1,1
32,482,1,0
32,74,1,1
32,180,1,0
32,42,1,0
32,78,1,1
32,122,1,1
32,26,1,1
32,122,1,1
32,68,1,0
32,66,1,0
32,34,1,0
32,219,1,1
32,46,1,0
32,215,1,1
32,40,1,1
32,108,1,1
32,104,1,1
32,90,1,0
32,405,1,1
32,278,1,0
32,127,1,0
32,179,1,1
32,90,1,1
32,118,1,1
32,80,1,0
32,154,1,0
32,64,1,1
32,56,1,1
32,24,1,1
32,238,1,1
32,597,1,0
32,82,1,0
32,224,1,0
32,32,1,1
32,52,1,0
32,77,1,1
32,172,1,1
32,259,1,1
32,88,1,1
32,92,1,1
32,90,1,0
32,452,1,1
32,110,1,1
32,32,1,0
32,142,1,0
32,140,1,1
32,481,1,0
32,82,1,0
32,339,1,1
32,106,1,0
32,139,1,1
32,156,1,0
32,56,1,0
32,156,1,0
32,109,1,1
32,52,1,1
32,188,1,1
32,50,1,1
32,140,1,1
32,144,1,0
32,316,1,1
32,66,1,1
32,46,1,1
32,114,1,0
32,277,1,0
32,92,1,0
32,48,1,1
32,160,1,1
32,192,1,1
32,120,1,0
32,282,1,0
32,66,1,0
32,158,1,1
32,38,1,0
32,60,1,0
32,136,1,1
32,80,1,1
32,230,1,1
32,51,1,1
32,219,1,0
32,252,1,1
32,76,1,0
32,122,1,1
32,28,1,0
32,63,1,1
32,82,1,0
32,40,1,1
32,48,1,0
32,98,1,1
32,240,1,0
32,188,1,1
32,182,1,0
32,118,1,1
32,90,1,1
32,48,1,0
32,58,1,0
32,52,1,1
32,124,1,1
32,155,1,1
32,94,1,1
32,42,1,1
32,94,1,0
32,60,1,1
32,100,1,1
32,286,1,0
32,208,1,0
32,52,1,1
32,106,1,1
32,102,1,0
32,52,1,0
32,66,1,0
32,88,1,0
32,390,1,0
32,58,1,0
32,48,1,1
32,70,1,0
32,44,1,0
32,108,1,1
32,76,1,0
32,45,1,0
32,198,1,0
32,36,1,0
32,58,1,0
32,96,1,1
32,133,1,1
32,175,1,0
32,38,1,1
32,102,1,1
32,183,1,1
32,312,1,0
32,184,1,1
32,66,1,1
32,60,1,1
32,46,1,0
32,292,1,0
32,57,1,1
32,71,1,1
32,122,1,1
32,92,1,1
32,92,1,1
32,38,1,0
32,171,1,0
32,88,1,0
32,119,1,0
32,144,1,0
32,66,1,1
32,42,1,0
32,122,1,1
32,311,1,1
32,26,1,0
32,76,1,1
32,58,1,0
32,232,1,0
32,34,1,0
32,52,1,0
32,183,1,0
32,908,1,1
32,49,1,0
32,244,1,1
32,120,1,1
32,34,1,1
32,134,1,1
32,168,1,0
32,69,1,0
32,20,1,0
32,110,1,1
32,160,1,1
32,64,1,1
32,48,1,1
32,50,1,0
32,84,1,1
32,62,1,1
32,64,1,1
32,99,1,0
32,211,1,0
32,185,1,0
32,218,1,0
32,118,1,1
32,80,1,0
32,94,1,0
32,194,1,1
32,72,1,0
32,237,1,0
32,36,1,0
32,66,1,1
32,164,1,0
32,132,1,1
32,138,1,1
32,44,1,0
32,72,1,1
32,214,1,0
32,68,1,0
32,36,1,1
32,168,1,0
32,336,1,0
32,78,1,1
32,96,1,1
32,50,1,0
32,90,1,1
32,78,1,0
32,48,1,0
32,79,1,0
32,60,1,1
32,225,1,0
32,242,1,1
32,40,1,0
32,30,1,1
32,48,1,1
32,279,1,0
32,145,1,0
32,82,1,1
32,45,1,1
32,304,1,0
32,76,1,1
32,140,1,0
32,378,1,0
32,68,1,1
32,128,1,1
32,258,1,1
32,54,1,0
